No,urls
168,https://www.mycareersfuture.sg/job/mean-stack-technical-consultant-mindteck-singapore-fa198b28a005be7be0d6d1f508b6d4ab
169,https://www.mycareersfuture.sg/job/medical-technologist-nuh-tissue-repository-national-university-hospital-64d718f07cda1b0c43ce6b3aa5fbf76f
170,https://www.mycareersfuture.sg/job/software-architect-yara-asia-f7d9b1b40f1aae270d3bf0859f98388e
171,https://www.mycareersfuture.sg/job/senior-recruitment-consultant-splunk-services-singapore-e3bf2bfad47cbcd770f0fcfc7b6321f8
172,https://www.mycareersfuture.sg/job/technical-support-coordinator-linkedin-singapore-6c24086ba1ce27d5240275553c67bee7
173,https://www.mycareersfuture.sg/job/research-fellow-cibest-national-university-singapore-848aad6538c0c6d59c4d277dbd535dc8
174,https://www.mycareersfuture.sg/job/cyber-security-senior-consultant-cloudgo-2b08f922ce6cbf10328b5f7248219b5e
175,https://www.mycareersfuture.sg/job/operations-executive-fxchange-7d9489ae77750ee9af8db5717d9193a0
176,https://www.mycareersfuture.sg/job/salesforce-senior-consultant-cloudgo-fe679f3d878ce368af7b1a3ab9be453d
177,https://www.mycareersfuture.sg/job/accounts-payable-executive-ntuc-enterprise-co-operative-ccf458ea1e8f16ec5007fa2271fb4973
178,https://www.mycareersfuture.sg/job/java-solution-architect-epam-systems-530278ebebe8dff25496fc09c9a0e025
179,https://www.mycareersfuture.sg/job/manager-retailer-vertical-nielsen-company-505247f654f9745b4ae214f345e01fed
180,https://www.mycareersfuture.sg/job/e-commerce-business-development-manager-snaphunt-c4dcb2c91dfcab3664adef00e2383bb5
181,https://www.mycareersfuture.sg/job/security-consultant-manager-accenture-8b7533539ee770bf24615e1261e6a170
182,https://www.mycareersfuture.sg/job/research-officer-astar-research-entities-2364c02de013a5a6ed36ec3c63283d0a
183,https://www.mycareersfuture.sg/job/senior-qa-engineer-kim-ann-engineering-08552551ba36aad8758b5856bdb06435
184,https://www.mycareersfuture.sg/job/senior-finance-analyst-encora-technologies-65241dca95c371d332707e2abc265cf8
185,https://www.mycareersfuture.sg/job/assistant-director-senior-manager-wog-ict-smart-systems-portfolio-management-government-technology-agency-ce3d5b360bed86f0dd93376b64dbd6d3
186,https://www.mycareersfuture.sg/job/business-analyst-encora-technologies-31fc0fd3513a9d4763a3afa1cd9ed0e9
187,https://www.mycareersfuture.sg/job/software-engineer-techcom-solutions-consultancy-60119276627ea7b48646d1f611cbca1a
188,https://www.mycareersfuture.sg/job/recruitment-consultant-reeracoen-singapore-ada28f9f7a647f47f63e7c96d81994ae
189,https://www.mycareersfuture.sg/job/product-manager-tradegecko-dfee119b876fa4ea20d89a5da505ef77
190,https://www.mycareersfuture.sg/job/solution-architect-cloudgo-05449d5ab404b4db9a2bb4b694f1090c
191,https://www.mycareersfuture.sg/job/clinical-research-coordinator-og-department-national-university-hospital-23d301b3a41edbea7f82beef10cbd2e8
192,https://www.mycareersfuture.sg/job/ux-ui-developer-niometrics-7ab12466cec1025dc0ee4ee07ca56074
193,https://www.mycareersfuture.sg/job/high-perfomance-dpi-engineer-niometrics-46aa790f6025bfc949894b982ac11e82
194,https://www.mycareersfuture.sg/job/medical-technologist-nuh-tissue-repository-national-university-hospital-33baff037553bcb22eeca32379704b64
195,https://www.mycareersfuture.sg/job/research-associate-national-university-singapore-695a44f385a45b0fd24fc1fbd96ffa69
196,https://www.mycareersfuture.sg/job/specialist-solution-architect-machine-learning-amazon-web-services-singapore-73117b80ab5ca2a8196917e8cd955297
197,https://www.mycareersfuture.sg/job/deputy-interactive-graphics-editor-singapore-press-holdings-38c2f3ad80e2be97ae90d75375deee45
198,https://www.mycareersfuture.sg/job/specialist-solution-architect-machine-learning-amazon-web-services-singapore-fd86a0032d030b9e2305cc30e02b9f8e
199,https://www.mycareersfuture.sg/job/system-engineer-acmefocusnet-8476134c1007d3ded52554a5277ef0b4
200,https://www.mycareersfuture.sg/job/administrative-assistant-u-prodigy-education-consultancy-02c408dd8ff3dfb644a0a969a086a29d
201,https://www.mycareersfuture.sg/job/chief-staff-zenyum-66630862e63e5d8ca54b85434cc835b5
202,https://www.mycareersfuture.sg/job/accounts-officer-machspeed-human-resources-5ed847166b61ce50d309ead1cbe83c2c
203,https://www.mycareersfuture.sg/job/engineering-assistant-qa-machspeed-human-resources-8fc1d1cd2ef08c7b575813cebff97744
204,https://www.mycareersfuture.sg/job/key-account-manager-machspeed-human-resources-42a54e84454e76bb050bd577f8952bbe
205,https://www.mycareersfuture.sg/job/contract-6-months-coordinator-machspeed-human-resources-02283a99e57b04a6e3ca24b9ca929002
206,https://www.mycareersfuture.sg/job/process-engineer-singapore-lng-corporation-db5a7d0be943fa0233228e15752199a4
207,https://www.mycareersfuture.sg/job/operational-risk-macquarie-group-services-d9a46066bdc04db5356e1bbed322ffe9
208,https://www.mycareersfuture.sg/job/frontend-architect-capgemini-singapore-bede55f1e0169e3abab6db013714e0fc
209,https://www.mycareersfuture.sg/job/senior-product-pricing-specialist-gmp-recruitment-services-a3f25cc7c689a9eba6b7c4de2113f311
210,https://www.mycareersfuture.sg/job/automation-qa-ntuc-enterprise-nexus-co-operative-229d7a547cc9d30915e4e21c2aeea5bd
211,https://www.mycareersfuture.sg/job/senior-supply-chain-executive-supreme-hr-advisory-1c47814c30b678578f671de15d71a2b8
212,https://www.mycareersfuture.sg/job/java-backend-engineer-ntuc-enterprise-nexus-co-operative-834b41b9b5f428ee5237f7287997229f
213,https://www.mycareersfuture.sg/job/admin-officer-techniques-air-conditioning-engineering-089ca3a3cf7df528421c9e6a2522e343
214,https://www.mycareersfuture.sg/job/student-services-academy-executive-csm-academy-international-0c2fd03ed12c8f428ed41fa452858f26
215,https://www.mycareersfuture.sg/job/school-sports-health-leisure-project-assistant-republic-polytechnic-c14474e2851020a6da47c5026ae6cadc
216,https://www.mycareersfuture.sg/job/software-applications-developer-quinnox-solutions-7da4a630f59c0edfc3c3728761efd39a
217,https://www.mycareersfuture.sg/job/senior-storage-engineer-sysnet-system-solutions-bd8e626f59a5acf65489dcb9186fdb7a
218,https://www.mycareersfuture.sg/job/senior-hydrogeologist-public-utilities-board-726ed71bf7144dd519911b30d1129595
219,https://www.mycareersfuture.sg/job/sales-coordinator-supratechnic-f9d7a8246aa72d8476bf3c0289a907ca
220,https://www.mycareersfuture.sg/job/management-trainee-hotel-miramar-115718226b6fa257b35118aa01a3ba72
221,https://www.mycareersfuture.sg/job/rpa-sales-compo-2000-a6499ed9800a9e98ca1f696e89182579
222,https://www.mycareersfuture.sg/job/associate-director-%E2%80%93-corporate-accounting-beathchapman-aad5cc772d15cc052f06fb2dbeda13d1
223,https://www.mycareersfuture.sg/job/new-sales-manager-tea-ideas-f2e4616eba0cec408cee32faa50028f2
224,https://www.mycareersfuture.sg/job/elementary-school-teacher-singapore-american-school-4db6a2d359ad513c9b78ed3b2ccea903
225,https://www.mycareersfuture.sg/job/elementary-school-teacher-singapore-american-school-31f7372b9b8d45abf8811d9bee648734
226,https://www.mycareersfuture.sg/job/finance-manager-dae-sung-construction-dcb43c3ece60741e7da46904890ef183
227,https://www.mycareersfuture.sg/job/quality-control-inspector-houston-well-screen-asia-1e81ea101f3e9e2dadf00574227f9b4b
228,https://www.mycareersfuture.sg/job/sales-operations-lead-ubereats-uber-singapore-technology-a2e99ccd93e81bbf2934321dada49bd3
229,https://www.mycareersfuture.sg/job/piping-engineer-overseas-technical-engineering-construction-060c708d1e34173199b93dd4ed9e622b
230,https://www.mycareersfuture.sg/job/avp-jade-business-development-director-hsbc-bank-fd57556e85e9eda1e32c93ed57e32121
